State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
2,172750,179456,183618,187220,188978,190928,193237,195886,200079,204026,207216,211261,215850,220720,225697,226280,227683,237393,245092,246182,251110
1,1334900,1360625,1374133,1390158,1404958,1424386,1447841,1460439,1478696,1497168,1505759,1506891,1499461,1497828,1501675,1507515,1532800,1612276,1632467,1604990,1591968
5,761427,774789,781732,790070,799339,815762,829981,839634,852297,864856,872691,878419,879590,881463,887164,892539,903746,953152,968501,954967,951286
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1196284,1236886,1253666,1274493,1312808,1369200,1422504,1470899,1531707,1583562,1624810,1665354,1695670,1720683,1764847,1810226,1888565,2011135,2080423,2003461,2037603
6,10211835,10337480,10211198,10012232,9915747,10025767,10179399,10427660,10789034,11120947,11336742,11531921,11641931,11652738,11703701,11745599,11906514,12434953,12707337,12588517,12600855
8,1162528,1200992,1229354,1257698,1289065,1328763,1365445,1401704,1455740,1510544,1553295,1588708,1592042,1583940,1590232,1599054,1627578,1716995,1773000,1775382,1785442
9,1280878,1259625,1233330,1216708,1209762,1214701,1221385,1231278,1251218,1270081,1280310,1295421,1302971,1298471,1294962,1289941,1300673,1345270,1360079,1348693,1343294
11,226231,222875,216308,210681,203048,198860,196124,190638,192275,198835,201876,202039,202074,199218,198168,198053,200735,208523,215623,216804,219908
10,251510,255336,255924,256478,259331,264779,269268,272892,279248,286083,290524,294904,298349,301026,304876,308242,313365,327251,333759,330085,328704
12,4651745,4767082,4783656,4822184,4897226,5010552,5144363,5275442,5422062,5568203,5716797,5869820,5970425,6053480,6171280,6265425,6414871,6746979,6890522,6810387,6850795
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2167513,2210542,2240996,2288400,2335771,2400440,2469466,2534320,2608831,2688428,2755881,2800545,2817176,2837685,2867203,2902551,2967362,3141948,3233717,3212469,3248903
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1002946,1016296,1010719,1004907,1005119,1015607,1026970,1032594,1048260,1063187,1068589,1072997,1071523,1070619,1074860,1081606,1094686,1141025,1156074,1147660,1144466
16,317014,331000,340027,350568,361042,371334,379299,387796,399634,410281,420113,429441,435083,441111,448781,457782,473417,505181,520719,517395,517136
17,4170491,4208353,4171526,4158285,4167897,4217445,4275987,4318422,4390395,4469352,4524738,4565512,4565372,4547598,4549595,4559290,4611190,4794976,4871119,4826865,4808090
18,2010046,2033957,2031730,2039461,2062717,2102941,2137834,2155168,2186330,2220221,2246031,2262514,2259526,2259503,2268308,2283004,2313091,2419663,2442713,2408045,2396785
20,852446,863812,862775,861246,864768,872523,882998,892708,909501,926079,932577,940861,945778,945598,949033,951820,964449,1018723,1039162,1031316,1025543
21,1206177,1223123,1228497,1237946,1253675,1275912,1298665,1312651,1337917,1364656,1383584,1398152,1398823,1398458,1401084,1406526,1424520,1486009,1506384,1485933,1480394
22,1294531,1323614,1327979,1330820,1342453,1366799,1395476,1411815,1435661,1455182,1460628,1470824,1475170,1477510,1478903,1329558,1323832,1461744,1511037,1508446,1512387
25,2274123,2247070,2211814,2200673,2210021,2236455,2268017,2297982,2344629,2383711,2398194,2428346,2438469,2420353,2407474,2401853,2420113,2498625,2526004,2510609,2505040
24,1791102,1807198,1802043,1802403,1809607,1830707,1850620,1859767,1889204,1933331,1965674,1999712,2019337,2029370,2039540,2043781,2063186,2129538,2163741,2145935,2143288
23,448370,446233,439736,437892,439938,445453,449927,452591,459333,467762,473369,480704,485419,488090,490359,490335,492916,514201,514898,503860,498948
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3255543,3272621,3252015,3252908,3279699,3361927,3426692,3458984,3514657,3567988,3608564,3638938,3627499,3614669,3620677,3613338,3627965,3762468,3753886,3681829,3663133
27,1591278,1615141,1623682,1635713,1655033,1681289,1706813,1731744,1774780,1821960,1855227,1882195,1889104,1894982,1907225,1921508,1955446,2060441,2071707,2056018,2055460
29,1811509,1826371,1817806,1820098,1833635,1863462,1897113,1919101,1952319,1985832,2011348,2029326,2031526,2031978,2040283,2048079,2075122,2202929,2198158,2159636,2141367
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,796838,811785,820032,832364,846712,867019,882414,891421,905141,918885,924613,923402,919506,920456,923802,897498,906606,966821,983867,969077,966891
30,268053,275217,280048,283804,288371,294268,299209,301767,306029,310913,315536,320457,323826,327406,331145,334289,340834,361578,368627,366037,364834
37,2379834,2414070,2439408,2481887,2524105,2579265,2643686,2690114,2745606,2796955,2834798,2868440,2873201,2877689,2908011,2944131,3007667,3175506,3263662,3231387,3220881
38,222349,225052,224627,225225,226177,229530,229954,229838,233197,234951,235561,237373,237250,238361,240475,241921,244561,254561,258096,258203,260023
31,571345,580031,580181,581119,584531,592813,600973,603521,611242,620791,626120,629833,631516,633072,635998,640329,646681,673827,684154,681638,682344
33,419204,417103,413986,416423,421553,432163,439851,447219,456391,466405,474248,485138,490514,493127,496213,498458,503209,520734,527531,520975,518053
34,2934946,2942254,2912810,2897209,2899116,2914019,2936001,2962750,3012344,3067856,3114800,3158079,3182479,3186821,3191259,3188299,3214770,3323358,3369279,3338239,3319103
35,495598,511021,516898,527139,540730,557864,570256,575849,584236,593708,552661,561648,614354,621802,630091,635442,649931,696154,713850,705657,704281
32,434693,461769,473284,489104,514089,545008,574212,605853,638873,669844,700064,724138,744080,763786,791527,819899,861441,922070,957278,945117,937701
36,6325408,6319042,6226817,6153229,6131293,6158621,6214144,6275957,6401342,6546452,6655572,6756422,6807878,6811967,6804721,6802459,6876698,7156671,7293843,7249343,7255720
39,4043091,4102463,4102447,4109924,4143124,4216290,4278967,4314513,4355474,4402841,4434370,4455538,4422700,4388904,4377571,4355981,4361732,4492815,4513533,4417248,4378776
40,993020,1013822,1017473,1019176,1023111,1035795,1053131,1067921,1085891,1101619,1110649,1121123,1123733,1121392,1123058,1127209,1144291,1206703,1236725,1225182,1217993
41,975164,1003791,1011579,1020836,1037001,1063124,1090729,1115403,1142418,1160470,1173403,1191248,1198754,1199464,1208214,1223789,1249454,1323866,1357805,1342476,1338312
42,4444743,4463551,4409247,4375622,4367990,4396269,4425291,4447128,4508385,4569250,4617009,4654367,4655841,4652964,4655443,4663846,4714854,4933016,4962767,4910642,4899840
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,367051,362326,354155,351103,350752,353241,356501,359674,366916,373348,378615,385223,389124,390163,390552,390382,392903,412121,407788,401279,398371
45,1195471,1219165,1227063,1243069,1259164,1285339,1314498,1336591,1363076,1389440,1407836,1418380,1416325,1415698,1426298,1439000,1465086,1545082,1588802,1575352,1571378
46,242543,247881,248586,250292,252917,257372,258487,258904,263625,268495,272435,276129,277118,279710,282275,284885,289122,303656,309148,307893,308464
47,1716397,1744379,1759365,1786766,1820944,1865603,1904635,1931727,1965875,2001450,2026724,2039342,2035894,2039540,2052620,2061272,2092793,2197057,2242902,2212770,2205535
48,5519640,5676123,5743026,5826079,5931917,6073166,6230170,6369687,6557001,6735773,6860015,6992554,7073844,7122235,7200454,7251328,7420752,7850255,8164269,8198563,8264977
49,495608,516344,531047,546373,563485,585449,607502,625957,647359,666588,685720,703324,715461,724907,737284,756409,781626,831553,865851,868991,872620
51,2215855,2247722,2265550,2285365,2310502,2347506,2384997,2406026,2451060,2516348,2564844,2603215,2633895,2662342,2691687,2711470,2746268,2861228,2920571,2903069,2900854
50,209020,210029,208557,209115,211318,214861,218079,219943,223716,228062,230686,234560,237447,239043,240590,241412,244740,257123,257494,254615,253498
53,1744820,1807282,1833601,1850685,1869461,1906008,1939788,1977990,2032142,2075342,2114981,2155369,2167683,2175411,2193776,2214189,2259384,2380874,2467871,2455665,2444622
55,1810857,1841808,1848238,1856912,1874042,1903592,1933788,1961031,1996201,2031299,2060239,2086238,2093673,2102714,2117946,2132924,2162909,2262878,2274814,2248899,2235285
54,563696,570535,568702,569573,573476,581837,588496,591531,598169,605771,608840,613229,612735,610566,609637,608879,615866,641858,648451,639123,636280
56,152851,157049,159022,160377,162135,165039,166575,167683,170300,172685,174271,176818,179323,180810,182848,183927,187201,197498,205123,206439,205519
57,562138,439952,0,395822,386664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,87543410,88602043,88060013,88583834,89216317,90307053,91877758,93268113,95325816,97387816,98849147,100216392,100816322,101047441,101629422,101983532,103505204,108480261,110560223,109509363,109464060